Barra de;Barra para;Circuito
1079;43104;1
1080;43105;2
1086;978;1
10101;1088;1
10101;1086;1
10101;1086;2
10101;1087;1
1087;1889;1
1889;1085;1
545;1088;1
545;1088;2
1131;1146;1
1843;1859;1
1856;1099;1
1139;1140;1
1140;1093;1
1093;1094;1
1145;1140;1
1145;1138;1
1146;1019;1
1853;1854;1
1148;1843;1
1078;1018;1
1078;1018;2
1078;1086;1
1078;1085;1
1089;1025;1
1087;1025;1
1087;545;1
1087;545;2
1019;1137;1
1019;1137;2
1889;1025;1
1889;1025;2
545;43387;1
541;539;15
1077;43377;1
1077;43379;2
1077;43381;3
1078;43104;1
1078;43105;2
1018;43022;1
1018;43023;2
1142;43099;1
1142;43097;2
1142;43096;3
1142;43098;4
1890;43388;1
1890;43389;2
1099;43375;1
1099;43373;2
1095;43371;1
1095;43369;2
1075;43178;1
1075;43179;2
544;9544;1
544;9544;2
1082;1136;1
1082;1136;2
1082;1026;1
1026;1082;2
